company name,website,address,source
,,,
Abnova Corporation,http://www.abnova.com/,"Abnova Corporation (HQ)   9th Fl., No. 108, Jhouzih St.   Neihu District,, Taipei 114, Taiwan",http://www.biocompare.com
BD Biosciences,http://www.bdbiosciences.com/,"Reagents   10975 Torreyana Road, San Diego, California 92121, United States",http://www.biocompare.com
BioLegend,http://www.biolegend.com,"9727 Pacific Heights Blvd, San Diego, California 92121, United States",http://www.biocompare.com
BioVision,http://www.biovision.com/,"BioVision, Inc.  980 Linda Vista Avenue, Mountain view, California 94043, United States",http://www.biocompare.com
eBioscience,http://www.ebioscience.com,"10255 Science Center Dr, San Diego, California , United States",http://www.biocompare.com
"Enzo Life Sciences, Inc.",http://www.enzolifesciences.com,"10 Executive Blvd., Farmingdale, NY 11735, United States",http://www.biocompare.com
GeneTex,http://www.genetex.com,"GeneTex, Inc.  2456 Alton Parkway, Irvine, California 92606, United States",http://www.biocompare.com
MBL International,http://mblintl.com,"4 H Constitution Way, Woburn, Massachusetts 1801, United States",http://www.biocompare.com
Promega,http://www.promega.com,"2800 Woods Hollow Rd., Madison, Wisconsin , United States",http://www.biocompare.com
"AnaSpec, EGT Group",http://www.anaspec.com,"34801 Campus Drive, Fremont, California 94555, United States",http://www.biocompare.com
EMD Millipore,www.emdmillipore.com/,"EMD Millipore is the Life Science division of Merck KGaA of Darmstadt, Germany    Millipore Corporation   290 Concord Road, Billerica, Massachusetts 1821, United States",http://www.biocompare.com
G Biosciences,http://www.gbiosciences.com,"92 Weldon Parkway, St. Louis, Missouri , United States",http://www.biocompare.com
"Biotium, Inc.",http://www.biotium.com/,"3159 Corporate Place, Hayward, California 94545, United States",http://www.biocompare.com
Life Technologies,www.lifetechnologies.com,"5791 Van Allen Way, Carlsbad, CA 92008, United States",http://www.biocompare.com
R&D; Systems,http://www.rndsystems.com,"614 McKinley Place N.E., Minneapolis, Minnesota 55413, United States",http://www.biocompare.com
Bio-Rad,http://discover.bio-rad.com,"Bio-Rad Laboratories, Inc.  Life Science Research Group  2000 Alfred Nobel Drive, Hercules, California 94547, United States",http://www.biocompare.com
Roche Applied Science,http://www.roche-applied-science.com,"Roche Diagnostics Corporation  P.O. Box 50414  9115 Hague Road, Indianapolis, Indiana , United States",http://www.biocompare.com
"Santa Cruz Biotechnology, Inc.",http://www.scbt.com/,"2145 Delaware Avenue  Santa Cruz,, Santa Cruz, California 95060, United States",http://www.biocompare.com
QIAGEN - Sample & Assay Technologies,www.qiagen.com,"6951 Executive Way, Suite 100, Frederick, Maryland 21703, United States",http://www.biocompare.com
"Alfa Aesar, A Johnson Matthey Company",http://www.alfa.com/,"26 Parkridge Road, Ward Hill, Massachusetts 1835, United States",http://www.biocompare.com
Biomatik,http://www.biomatik.com/,"105-501 Silverside Rd, Wilmington, Delaware 19809, United States",http://www.biocompare.com
Fisher BioReagents,http://www.fishersci.com/,"Global Chemicals  Thermo Fisher Scientific  300 Industry Dr, Pittsburgh, Pennsylvania 15275, United States",http://www.biocompare.com
StressMarq Biosciences Inc,http://www.stressmarq.com,"PO Box 55036 Cadboro Bay, 3825 Cadboro Bay Rd, Victoria, British Columbia V8N 4G0, Canada",http://www.biocompare.com
